date;CmStatusTxPower
2018-02-21 08:52:47;51.0000
2018-02-21 08:52:54;51.0000
2018-02-21 08:53:04;51.0000
2018-02-21 08:53:14;51.0000
2018-02-21 08:53:24;51.0000
2018-02-21 08:53:34;51.0000
2018-02-21 08:53:44;51.0000
2018-02-21 08:53:54;51.0000
2018-02-21 10:00:44;51.0000
2018-02-21 10:00:54;51.0000
2018-02-21 10:01:04;51.0000
2018-02-21 10:01:14;51.0000
2018-02-21 10:01:24;51.0000
2018-02-21 10:01:34;51.0000
2018-02-21 10:01:44;51.0000
2018-02-21 10:01:54;51.0000
2018-02-21 10:02:04;51.0000
2018-02-21 10:02:14;51.0000
2018-02-21 10:02:24;51.0000
2018-02-21 10:02:34;51.0000
2018-02-21 10:02:44;51.0000
2018-02-21 10:02:54;51.0000
2018-02-21 10:03:04;51.0000
2018-02-21 10:03:14;51.0000
2018-02-21 10:03:25;51.0000
2018-02-21 10:03:34;51.0000
2018-02-21 10:03:44;51.0000
2018-02-21 10:03:54;51.0000
2018-02-21 10:04:04;51.0000
2018-02-21 10:06:16;51.0000
2018-02-21 10:06:24;51.0000
2018-02-21 10:06:34;51.0000
2018-02-21 10:06:44;51.0000
2018-02-21 10:10:09;51.0000
2018-02-21 10:10:14;51.0000
2018-02-21 10:10:24;51.0000
2018-02-21 10:10:34;51.0000
2018-02-21 10:10:44;51.0000
2018-02-21 10:10:54;51.0000
2018-02-21 10:11:04;51.0000
2018-02-21 10:11:14;51.0000
2018-02-21 10:11:24;51.0000
2018-02-21 10:11:34;51.0000
2018-02-21 10:11:44;51.0000
2018-02-21 10:11:54;51.0000
2018-02-21 10:12:04;51.0000
2018-02-21 10:12:14;51.0000
2018-02-21 10:12:24;51.0000
2018-02-21 10:12:34;51.0000
2018-02-21 10:12:44;51.0000
2018-02-21 10:12:54;51.0000
2018-02-21 10:13:05;51.0000
2018-02-21 10:13:14;51.0000
2018-02-21 10:13:24;51.0000
2018-02-21 10:13:34;51.0000
2018-02-21 10:13:44;51.0000
2018-02-21 10:13:54;51.0000
2018-02-21 10:14:04;51.0000
2018-02-21 10:14:14;51.0000
2018-02-21 10:14:24;51.0000
2018-02-21 10:14:34;51.0000
2018-02-21 10:14:44;51.0000
2018-02-21 10:14:54;51.0000
2018-02-21 10:15:04;51.0000
2018-02-21 10:15:15;51.0000
2018-02-21 10:15:24;51.0000
2018-02-21 10:15:34;51.0000
2018-02-21 10:15:44;51.0000
2018-02-21 10:15:54;51.0000
2018-02-21 10:16:08;51.0000
2018-02-21 10:16:14;51.0000
2018-02-21 10:16:24;51.0000
2018-02-21 10:16:34;51.0000
2018-02-21 10:16:44;51.0000
2018-02-21 10:16:54;51.0000
2018-02-21 10:17:04;51.0000
2018-02-21 10:17:15;51.0000
2018-02-21 10:17:24;51.0000
2018-02-21 10:17:34;51.0000
2018-02-21 10:18:15;51.0000
2018-02-21 10:18:24;51.0000
2018-02-21 10:18:34;51.0000
2018-02-21 10:18:44;51.0000
2018-02-21 10:18:54;51.0000
2018-02-21 10:19:04;51.0000
2018-02-21 10:19:14;51.0000
2018-02-21 10:19:24;51.0000
2018-02-21 10:19:34;51.0000
2018-02-21 10:19:44;51.0000
2018-02-21 10:26:33;51.0000
2018-02-21 10:26:38;51.0000
2018-02-21 10:26:44;51.0000
2018-02-21 10:26:54;51.0000
2018-02-21 10:27:04;51.0000
2018-02-21 10:27:15;51.0000
2018-02-21 10:27:24;51.0000
2018-02-21 10:27:34;51.0000
2018-02-21 10:27:49;51.0000
2018-02-21 10:27:54;51.0000
2018-02-21 10:28:05;51.0000
2018-02-21 10:28:14;51.0000
2018-02-21 10:50:46;51.0000
2018-02-21 10:50:54;51.0000
2018-02-21 10:51:04;51.0000
2018-02-21 10:51:14;51.0000
2018-02-21 10:51:24;51.0000
2018-02-21 10:51:34;51.0000
2018-02-21 10:51:44;51.0000
2018-02-21 10:51:54;51.0000
2018-02-21 10:52:04;51.0000
2018-02-21 10:52:14;51.0000
2018-02-21 10:52:24;51.0000
2018-02-21 10:52:34;51.0000
2018-02-21 10:52:44;51.0000
2018-02-21 10:52:54;51.0000
2018-02-21 10:53:04;51.0000
2018-02-21 10:53:14;51.0000
2018-02-21 10:53:24;51.0000
2018-02-21 10:53:34;51.0000
2018-02-21 10:53:44;51.0000
2018-02-21 10:53:55;51.0000
2018-02-21 10:54:04;51.0000
2018-02-21 10:54:14;51.0000
